seed,n_clusters,points_per_cluster,dim,cluster_std,ari,nmi,sse,steps,converged,min_inter_token_dist,collapsed,n_tokens,n_steps,temperature,lr,momentum,repulsion,method
7,4,80,6,0.3,1.0,1.0,166.09574417286177,26,True,6.325814451980666,0.0,4,30,1.0,1.0,0.5,0.0,inertia
8,4,80,6,0.3,1.0,1.0,171.55906067044282,26,True,6.890664094126927,0.0,4,30,1.0,1.0,0.5,0.0,inertia
9,4,80,6,0.3,1.0,1.0,178.58420626864103,13,True,8.748842623753154,0.0,4,30,1.0,1.0,0.5,0.0,inertia
10,4,80,6,0.3,0.6271222417070673,0.8000962313585842,3508.529201485824,26,True,0.0001282596165940657,0.0,4,30,1.0,1.0,0.5,0.0,inertia
11,4,80,6,0.3,0.6271222417070673,0.8000962313585842,845.4996283200321,21,True,0.0003573855302871781,0.0,4,30,1.0,1.0,0.5,0.0,inertia
12,4,80,6,0.3,0.6269560029361883,0.8000240481455232,1567.7868979084951,21,True,0.00041602613803490735,0.0,4,30,1.0,1.0,0.5,0.0,inertia
13,4,80,6,0.3,0.22930041172794774,0.5065845123598232,7944.0935826157975,26,True,0.00010005252645262581,0.0,4,30,1.0,1.0,0.5,0.0,inertia
14,4,80,6,0.3,1.0,1.0,175.80743066135008,24,True,3.764124128959064,0.0,4,30,1.0,1.0,0.5,0.0,inertia
15,4,80,6,0.3,0.6269560029361883,0.8000240481455232,3977.6803882158447,26,True,0.0001510242280744593,0.0,4,30,1.0,1.0,0.5,0.0,inertia
16,4,80,6,0.3,0.6273992541638475,0.800216666257427,2063.66025720008,21,True,0.0006066080540573516,0.0,4,30,1.0,1.0,0.5,0.0,inertia
17,4,80,6,0.3,0.6271222417070673,0.8000962313585842,2256.852809380996,24,True,0.0003726074046443734,0.0,4,30,1.0,1.0,0.5,0.0,inertia
18,4,80,6,0.3,0.6269560029361883,0.8000240481455232,1353.5065437028497,25,True,0.00017748395716714102,0.0,4,30,1.0,1.0,0.5,0.0,inertia
